pdb_id,uniprot_id
2ow3,P49841
2qmf,P56817
3cgo,P53779
2qaf,Q8IJH3
3chf,Q873X9
3bgl,P04035
3dcv,P11309
2qve,Q8GMG0
3e62,O60674
3ddu,P48147
2vj7,P56817
3eql,Q9Z9H6
3dei,P42574
2v22,P24941
2vio,P00749
3ctq,Q16539
2vrx,Q6DE08
2ea4,P50579
3cqw,P31749
3dbd,Q4KMI8
2vtt,P24941
2pj6,P09955
2vu3,P24941
3bl7,Q96C86
3efw,O14965
2ei6,P00742
3dya,P04585
3ekn,P06213
3che,Q873X9
2rku,P53350
3elj,P45983
2vip,P00749
2rjs,Q8GMG0
2qq7,P00523
2vvt,Q836J0
2viv,P00749
2rl5,P35968
3ch9,Q873X9
3chp,P09960
2vgo,Q6DE08
2qmd,P56817
3cj3,P26663
3d27,P0AE18
3bc5,P37231
3cid,P56817
3b9s,P14174
2jkk,Q00944
2e9n,O14757
2vj1,P0C6X7
3dcr,O38732
2pmn,Q7YTF7
3cjf,P35968
2vvo,P9WKD7
2r3f,P24941
2r3o,P24941
3c5u,Q16539
3cy2,P11309
3chr,P09960
2viz,P56817
3ee2,O60760
3bl9,Q96C86
2zdx,Q16654
2pj3,P09955
2r4b,Q15303
2vti,P24941
3eht,P0AEX9
2qzx,P43094
2jkq,Q00944
2rip,P27487
2jko,Q00944
3ecn,O60658
3bym,P06239
2v16,P00797
3bki,P19491
2r3n,P24941
3byo,P06239
2pj0,P09955
3dbs,P48736
2vle,P05091
2viw,P00749
3chc,Q873X9
2qiq,P0C6X7
2w06,P24941
2vtd,P14900
2zof,Q9D1A2
2vtn,P24941
3ens,P00742
2vcw,O60760
2r3g,P24941
2qzl,P56817
2qp8,P56817
2zdt,P53779
3ccc,P27487
2qk5,P56817
2pj1,P09955
2r3p,P24941
3db8,Q4KMI8
2pjt,P45452
2vtl,P24941
2vqm,P56524
2qhn,O14757
3ddb,P0DPI1
2z8e,A8W790
3e64,O60674
2q2a,D0VWX8
2zv9,P25911
2vt3,O05521
2jjk,P09467
3exe,P08559
3cd8,P08581
3cow,P9WIL5
2rkn,Q8W453
2vpn,E1VBK1
3c49,Q9Y6F1
3bu8,Q15554
2zmd,P33981
3bxz,P10408
2jgs,P02701
2vwc,P02829
2qky,P27487
2qpu,P00693
3bb1,Q41009
3dab,O15151
3diw,Q9DBG9
2p7g,P62508
3exf,P08559
3c7n,P32589
2p7z,P62508
3cj4,P26663
2jkt,P17427
3d0b,P07900
3bva,P03367
2p3i,P12473
2phb,P00742
3cph,P39958
3bum,O43597
2jql,P39009
2q2n,P32396
3c2o,P43619
3d2e,P32589
3cj5,P26663
2pvu,D0VWX8
2zb1,Q16539
2w0p,P21333
2q2c,D0VWX8
2vx0,P54760
2jg8,P02745
2vrj,Q08638
2q89,Q92WC8
2w0s,P68693
3bun,Q9C004
3dxj,Q5SHR6
3ebl,Q6L545
2zm3,P08069
3bti,P0A0N3
3c2r,P43619
3dst,Q08602
2or9,P01654
2qbu,O27402
3ce0,Q9Y6F1
3buo,P00533
2z92,
2jkr,P17427
2p7a,P62508
3btl,P0A0N3
3coy,P9WIL5
2rcn,Q8ZKB0
3cfv,Q16576
2vmd,P42530
3ckb,Q8A1G2
2z97,P00183
2vmc,P42530
3cfs,Q16576
2pmk,P08716
3bu6,P06213
3bim,P41182
3eeb,Q9KS12
2k2r,Q9NVD7
3e5u,B8FW11
2zju,P58154
3cii,P13747
3btc,P0A0N3
3d1e,P0A988
2q88,Q92WC8
3buw,P43405
2vyt,Q9UQR0
3e1r,Q53EZ4
2pqc,Q9R4E4
3d1f,P0A988
3eg6,P61964
3bt9,P0A0N3
3bxg,O32253
3eml,P00720
3bbb,P22392
2oz2,P25779
3bzi,P53350
3chg,P46922
3c39,P00558
2rin,Q92N37
2r6f,Q5KVB6
2jqi,P22216
3c9e,P43235
2vo4,O49235
3c2f,P43619
2eh8,
3cd5,P04035
3exh,P08559
2rnw,Q92831
2vuk,P04637
3ccw,P04035
2vpe,Q9Y3Y4
2vmf,Q8AAK6
2z6w,P30405
3ds0,P12497
3cd7,P04035
2k4i,P04584
3ck8,Q8A1G2
3c84,Q8WSF8
2jk9,Q96BD6
3e6v,P05089
3cj2,P26663
3bl2,P89884
3cyy,Q07157
2zpk,
2pym,P03367
3cpj,P39958
2r1x,Q52L64
2r23,P01837
2rcb,Q8VHN2
2vfk,Q6JP77
3d9k,Q9UPN6
3f9w,Q9NQR1
3b5j,P08716
2k0x,Q02054
3ds1,P12497
2w68,P0C6E9
3bze,P13747
3bux,P08581
2qry,P31550
3f17,P39900
3c6w,Q8WYH8
2jst,
2reg,Q92N37
3bex,Q9WZY5
3btj,P0A0N3
3bxf,O32253
3coz,P9WIL5
2rio,P32361
3bra,P56817
2k62,P80226
3f3e,O67854
2emt,P26043
3ew2,Q8KKW2
3clp,Q98GN8
2rny,Q92793
2qv7,Q6GFF9
2qfo,P07900
3fat,P19493
3buh,P56817
3f8f,A2RI36
3f8c,A2RI36
2k00,P54939
2r1w,P01837
3cf1,Q01853
3ery,P01897
2pyy,D0VWX9
3d7k,P51853
2z4r,P46798
3cwk,P29373
2k46,Q6INX3
2v7d,P63103
3cd0,P04035
2pyn,P03367
3brn,Q09JR9
3cct,P04035
3cda,P04035
3d9p,Q9UPN6
2q64,P03367
3c1n,Q57991
2zbk,O05208
3b2q,Q60187
3c4h,Q9Y6F1
2jiu,P00533
3bxe,O32253
3eks,P10987
2qtr,C3L5T6
2zkj,Q16654
3d2r,Q16654
2qic,Q9UK53
2vpo,E1VBK1
2r1y,P01837
3bvb,P03367
3d9m,Q9UPN6
3bzf,P13747
3d32,O95166
2zit,P32324
2vc9,A0A0H2YU91
3f18,P39900
2zdm,P00760
2qtn,Q6HT60
2r0h,Q206Z5
2vw5,P02829
3b4p,Q396C9
2zdl,P00760
3f9y,Q9NQR1
3bf1,Q9WZY5
3f6e,P20906
2pr9,P84092
2rnx,Q92831
2vnf,Q9UNL4
2zdk,P00760
3dp4,P19492
2zif,Q5SL84
3c3r,Q8WUM4
3feg,Q9Y259
3c3q,Q8WUM4
3b82,P32324
2k3w,Q9UN37
2vcb,A0A0H2YU91
3bbf,P22392
3c3o,Q8WUM4
3f16,P39900
2vvn,Q89ZI2
2qhr,
2q7y,P11609
3f48,O67854
2oz6,P55222
2zdn,P00760
3coj,P38398
3ccz,P04035
3cr4,P02638
3ds3,P12497
2pqj,P25891
3btr,P52293
3b2t,P21802
3blr,P50750
3bjm,P27487
3ctr,O95453
3b8h,P32324
3cyu,P00918
2qbw,Q96RT1
2pqb,Q9R4E4
3c79,Q8WSF8
3f80,P05089
3f1a,P39900
3eov,Q9U9R3
3ds4,P12497
2r2b,P01837
2pmc,P0A2D5
3bug,P56817
2q63,P03367
2rfy,Q8J0K6
2vxj,Q05097
3cr5,P02638
3f3d,O67854
3d9l,Q9UPN6
3f19,P39900
3bu1,Q09JX9
2pl9,P0A2D5
2zjv,P58154
2pnx,Q9UNL4
2r75,O66809
2qhm,O14757
3cgy,P0DM80
2zg1,O15389
2zg3,O15389
3d62,P0C6X7
3e6k,P05089
3d2t,P02766
3d9n,Q9UPN6
3ck7,Q8A1G2
2k2g,P39900
3buf,P56817
3b78,P32324
3dsu,Q08602
2qbp,P18031
3eyf,P01834
3cdb,P04035
3c56,P56109
3e0p,Q16651
3bxh,O32253
2qbq,P18031
2qi5,P03369
3c52,P56109
3ekr,P07900
2r38,P04587
2p59,Q91RS4
2qnn,P03367
2qi6,P03369
2qi3,P03369
2vnp,Q46822
2qi7,P03369
3bc3,P07711
2r3w,P04587
2zq0,G8JZS4
2qi4,P03369
3e8r,P78536
2za0,Q9CPU0
2rfh,P00730
2pvh,P28523
2pwr,P03367
2qbs,P18031
2v2h,P04789
2pwc,P03367
2zb0,Q16539
2vh6,P00742
3bm8,P15273
3eko,P07900
2z4o,P03367
3f15,P39900
2pvn,P28523
2p4s,A4Q998
2pvm,P28523
2qf6,P07900
2v2c,P04789
3blu,P15273
2vw1,Q54727
3c1k,P00734
2qbr,P18031
2zaz,Q16539
2w26,P00742
2r6y,P03372
2qrp,P00489
2vw2,Q54727
2qnp,P03367
3b65,P10275
3ckp,P56817
3bkl,P12821
2r6w,P03372
2ri9,P31723
2osm,P00918
3bh3,Q7NSA6
3bkk,P12821
2qnq,P03367
2qmg,P56817
2qd8,P03367
3cke,Q9UR08
2rkf,Q90JJ9
3d91,P00797
3d04,Q5G940
2z7g,P56658
2vqt,Q8AAK6
2qd7,P03367
3bgb,P04587
3b67,P10275
2r3t,P04587
2v6n,P0C6X7
2qhc,P03367
2zcq,A9JQL9
3c2u,O52575
3d1z,P04587
3e93,Q16539
3bqc,P68400
3ckz,Q6DPL2
2rkd,P07379
2qg0,P07900
2w54,O54050
3e92,Q16539
3cyx,P04587
2vi5,P9WHE9
2vkm,P56817
3d1g,P0A988
2vjx,Q8AAK6
2z7h,Q12051
3d67,Q96IY4
2e9v,O14757
3cf8,Q5G940
2qw1,P0AEE5
2uy0,P03366
3b5r,P10275
2zcr,A9JQL9
3f0r,Q9BY41
3bl0,P00918
2zn7,P18031
2q7o,P00491
3d4z,Q24451
2vo5,Q8AAK6
3d7z,Q16539
3cf9,Q5G940
2osf,P00918
2r9x,P00811
3dd8,P00918
3efk,P08581
1w12,P00749
3ewj,P78536
3cyw,P04587
3fas,P19493
3c88,P0DPI1
3d94,P08069
2ra0,P00742
3d50,Q24451
2pyi,P00489
3czv,Q8N1Q1
3b7u,P09960
2jt5,P08254
2zc9,P00734
2zgx,P00734
2qrh,P00489
3b9g,Q9GPQ4
3ddg,Q24451
2p4y,P37231
3bar,Q8IJH3
2vr4,Q8AAK6
3d1x,P04587
2qd6,P03367
2r43,P03367
2q8z,Q8IJH3
2qlm,P00489
2pqz,P03367
3b66,P10275
2ves,P47205
3b7r,P09960
2rka,P07379
2p1c,Q86C09
3ddf,Q24451
3bl1,P00918
2yz3,Q7BJM5
2qp6,P00918
3egk,P00734
2pvl,P28523
2rk8,P07379
3dln,P19492
1w0z,P00749
2jt6,P08254
3be9,P28523
2zmm,P18031
2v54,P68693
3bla,Q96C86
3cl2,Q6DPL2
2vj8,P09960
1w13,P00749
3eqr,Q07912
1w10,P00749
2uxz,P03366
2q6f,P0C6V5
2vh0,P00742
2za5,P20231
3d4y,Q24451
3bmq,O76290
2qln,P00489
2qo8,P00918
2qhy,P03369
3bft,P19491
2q9y,P13513
2vr0,Q72EF3
2pu2,P00811
3efj,P08581
1w14,P00749
3d83,Q16539
3bv9,P00734
3cm2,P98170
2qn3,P00489
2qci,P03367
3e9b,P07824
2qi0,P03369
2qg2,P07900
2qnb,P00489
3bc4,P04587
3ds9,P0DPI1
2r2m,P00734
2pnc,Q29437
2vvs,Q89ZI2
2vsl,P98170
2vc7,Q97VT7
2vl1,Q96W94
2z3z,Q7MUW6
2qtt,Q9T0I8
2zda,P00734
3d0e,P31751
3ckr,P56817
3e16,Q16651
3d52,Q24451
3bmo,O76290
2qi1,P03369
3cen,P00742
2qoa,P00918
2qhz,P03369
3dyo,P00722
3bfu,P19491
2jkp,G8JZS4
2jke,G8JZS4
3e5a,O14965
2ole,P27487
3b68,P10275
2rd6,P09874
3d20,P04587
2pvk,P28523
2vk6,Q59310
2r59,P09960
3b7j,Q5G940
2zfp,P00734
2qrg,P00489
3bcs,P00489
2qmj,O43451
3c8a,P0DPI1
2epn,Q6ST21
3d3x,Q9K395
2jk7,P98170
3f3a,O67854
2zcs,A9JQL9
1w11,P00749
3d1y,P04587
2qrq,P00489
2e9u,O14757
3d51,Q24451
3bbt,Q15303
2pq9,P0A6D3
2qtg,Q9T0I8
3d9v,Q13464
2v77,P15085
3b4f,P00918
2vot,Q8AAK6
2rkg,A0F6C5
3c8b,P0DPI1
3c89,P0DPI1
2rk7,P07379
2rke,P07379
2rcw,P09874
3caj,P00918
2pvj,P28523
3cl0,Q6DPL2
2r9w,P00811
3bxs,P03369
2eep,Q7MUW6
2qrm,P00489
3f3c,O67854
2vnt,P00749
3emg,P43405
3bgc,P04587
3fz1,P24941
3dc2,P9WNX3
3h59,P26663
2vl4,Q8AAK6
2w1c,O14965
3g9e,P37231
3cvk,P26663
3d5m,P26663
2wev,P24941
3hmm,P36897
3gxl,P36897
3ii5,P15056
3ig6,P00749
3gur,P28161
3hf6,P17752
3fei,Q07869
3igv,P26663
3g8i,Q07869
3fyk,P49137
3ff6,O00763
3gyn,P26663
3gol,O92972
2wez,P56817
3jpv,P11309
3hp5,Q16539
3du8,P49841
3kvx,P53779
3kb3,O80992
3fui,P09960
2w3k,P00742
3fv8,P53779
3fun,P09960
2w6n,P24182
3c7p,P00918
3hng,P17948
3hd3,P25779
3fxv,Q96RI1
3g42,P78536
2wtd,O96017
2wf0,P56817
2w3i,P00742
3iej,P25774
3kah,Q13526
3ej5,P02879
2wi6,P07900
3il6,Q820T1
3g6z,P00797
3i06,P25779
2wbd,P09467
3k3b,P52732
2waj,P53779
2w6p,P24182
3hr1,Q9QYJ6
3hqz,Q9QYJ6
2wtc,O96017
2wmw,O14757
3gw5,P00797
3k48,Q9D777
3fr5,P15090
3g70,P00797
2wo8,P39900
3g3n,Q13946
3fqh,P43405
2w71,P24182
3g1m,P9WMC1
3fr4,P15090
2wqb,Q02763
3dv1,P56817
3hp2,Q16539
2zv2,Q96RR4
3fr2,P15090
3fnu,Q8IM15
3gc7,Q16539
3eq7,P23687
3fej,P37231
3hw1,P56817
3fc2,P53350
3fpd,Q9H9B1
2wtj,O96017
3g72,P00797
3eq8,P23687
2wmx,O14757
3kaf,Q13526
2wi5,P07900
3djf,Q9BMI9
2w1d,O14965
3fy0,Q13153
3ft4,P04439
2zoq,P27361
2wbb,P09467
3jzb,P10827
3jzk,Q00987
3ezv,P24941
2woa,P39900
3hyf,P0A7Y4
2w1i,O60674
3f9n,O14757
3fci,P13051
3a4o,P07948
3dp2,Q5G940
3e0q,Q9BMI9
3dp0,Q5G940
3doy,Q5G940
3k3g,Q72CX3
2wi4,P07900
3duy,P56817
3dp3,Q5G940
3fzs,Q14289
3ftw,P09960
3eyg,P23458
3d28,P26663
3il5,Q820T1
3hj0,P02766
2zvj,P22734
3fck,P13051
3idp,P15056
3fmr,Q8SR45
3doz,Q5G940
3fu6,P09960
3k3i,Q16539
3co9,P26663
3hqy,Q9QYJ6
3h2a,Q81VW8
3fmq,Q8SR45
3jzq,O15151
3e3b,P19784
3hhm,P42336
3hy7,Q9UNA0
3ezr,P24941
3fzr,Q14289
2w70,P24182
3ftv,P09960
3dgq,P09211
3cwj,P26663
3hxf,Q08602
2w1e,O14965
3hha,P07711
3fxz,Q13153
3h03,P19491
2wf4,P56817
3fi3,P53779
3a29,P09467
3f8s,P27487
3i81,P08069
3e51,P26663
3h3c,Q14289
3e3u,P9WIJ3
2v5a,P24182
3fu3,P09960
2w6z,P24182
3dz6,P17707
3h0v,P17707
3fue,P09960
3ft5,P07900
3kce,Q13526
3eta,P06213
3fal,P19793
3hy9,Q9UNA0
3et7,Q14289
3gwu,O67854
3kba,P06401
3fum,P09960
3h23,Q81VW8
2wf3,P56817
3eka,Q9A0M7
3e8n,Q02750
3jsi,O76083
3iw4,P17252
3h21,Q81VW8
3ik3,P00520
3i0s,P04585
2w0d,P39900
3ha6,O14965
2zis,Q04631
3g6g,P00523
3fkt,P56817
3kfc,P55055
3f88,P49841
3gwv,O67854
2wgs,P9WN39
3ex2,P11172
3jzc,P10828
3hc8,O76074
3dg8,P13922
2w6m,P24182
2zyb,P06239
2who,P26663
3eyh,P23458
3fhr,Q16644
3fts,P09960
3h2n,Q81VW8
3h2m,Q81VW8
3cde,P26663
3fup,O60674
3d25,P04439
3dv5,P56817
3hrb,Q16539
2w12,P83512
3ewu,P11172
2w7x,O96017
3exo,P56817
3hv6,Q16539
3ftu,P09960
3h2o,Q81VW8
3f7u,P22748
3ejs,Q24451
3fuj,P09960
3jzp,O15151
3eju,Q24451
2w0j,O96017
3fi2,P53779
2wf2,P56817
2w6q,P24182
2wu6,P49761
3dga,P13922
2wcx,P26663
3kfa,P00520
3h06,P19491
3da6,P53779
2wf1,P56817
3hvg,P56817
3dtc,P80192
3hwn,P07711
3d3p,Q07343
3gfe,Q16539
3gs7,P02766
3kai,Q13526
3h0b,P56817
2vur,Q0TR53
2w6c,P04058
3g4f,Q39761
3fcl,P13051
3h26,Q81VW8
3ksl,Q04631
3kl6,P00742
2wei,A3FQ16
3hv4,Q16539
3gww,O67854
3fqa,P24630
3fdn,O14965
3hqw,Q9QYJ6
3ft8,P07900
3hfj,Q6HT60
3ex3,P11172
2wi3,P07900
3f3w,P00523
3jzr,Q00987
2wfg,Q5A9A4
2jle,Q72547
3igb,P56817
2wi2,P07900
2zzu,P08709
2w1g,O14965
3e37,P49354
3ia6,P37231
3fq7,P24630
3dpk,P07333
3i0r,P04585
3fc8,P02766
3hab,P27487
3hxe,Q08602
3h5u,P26663
3hxb,Q08602
3h0z,O14965
3dz4,P17707
3kf7,Q16539
3fcf,P13051
3ess,Q5EK40
3eq9,P23687
3itu,O00408
3fcb,P02766
3fqs,P43405
3i7g,P45452
3hhu,P07900
2wmu,O14757
3hdm,O00141
3ejt,Q24451
3ft2,P04439
2wot,P36897
2wih,P24941
3ft3,P04439
3gz9,Q03181
3hv3,Q16539
3coh,O14965
3dcq,Q9HYN5
3hxc,Q08602
3fw3,P22748
2w1f,O14965
3k9x,P00742
3hdz,O76074
2wu7,P49761
2w1h,P24941
3fu0,P09960
3fl8,Q81R22
3dpe,P22894
2wi7,P07900
3dpf,P22894
3g86,P26663
3fyj,P49137
3f2a,P11309
3h98,P26663
3jzi,P24182
2wmr,O14757
3h5s,P26663
3k23,P04150
3h0w,P17707
2zir,Q04631
3g6h,P00523
3hvc,Q16539
3kag,Q13526
3jzf,P24182
2w6o,P24182
3i7i,P45452
3fty,P09960
2w0x,Q9NWT6
3kab,Q13526
3hac,P27487
2wo9,P39900
3fzt,Q14289
3f7b,P22748
3hdn,O00141
3ig7,P24941
3f7z,P49841
2wuu,D0AB09
3h0y,O14965
3dng,P22894
3igg,P24941
3i28,P34913
3ewh,P35968
3hhk,Q99AU2
3jsw,O76083
3h9o,O15530
3kac,Q13526
3fu5,P09960
3dz2,P17707
2wou,P36897
3ewz,P11172
3kad,Q13526
3fl9,Q81R22
2wey,Q9Y233
3dz5,P17707
3i1y,P34913
3frz,P26663
3fpm,P49137
3h2f,Q81VW8
3dp1,Q5G940
3jzs,Q00987
3h0e,P42574
2wti,O96017
3f8w,Q9BMI9
2wd1,P08581
3hyg,Q9UNA0
2wmv,O14757
3gnv,O92972
3hv5,Q16539
3h22,Q81VW8
3dvp,Q24117
3ikc,
3hxd,Q08602
3c8e,Q46845
3csl,Q79AD2
3fuk,P09960
3gws,P10828
3fsj,P20906
3g15,P35790
2vk2,P39325
3a1c,O29777
3drf,A2RJ53
2w16,P48632
2wjg,Q57986
3fzy,Q9KS12
3bwk,Q8IIL0
3heg,Q16539
2w3o,Q96T60
3eky,P03369
3g2t,Q9UJY5
3ie3,P09211
3jvs,O14757
3el1,P03369
3imy,P10828
3d1v,P00491
3bwj,P00517
3drg,A2RJ53
3d7m,P10824
3ekx,P03369
3ffu,Q6MPX4
3ekv,P03369
3g2v,Q9UJY5
3hik,P53350
3dla,P9WJJ3
3hjo,P09211
3ed0,Q5G940
2w73,P0DP23
3e8u,
3hxi,
2w77,P48632
3f35,P02791
3f33,P02791
3eu7,Q86YC2
3f34,P02791
2zym,Q9AJF5
3a3y,Q4H132
2kgi,P29375
3g2s,Q9UJY5
3e73,O43813
2v58,P24182
2k7l,Q9Y5B0
3fvh,P53350
2w7y,A5LBQ6
3e12,O66496
2kdh,P63316
3ijy,
2w8j,Q93UV0
3gnw,O92972
3dxm,P61157
3esj,P62617
3img,P9WIL5
2weq,P02829
3iw5,Q16539
3ekp,P03369
3h1x,P59071
3i9g,
3h6z,Q9VK33
2zyn,Q9AJF5
3f36,P02791
3fxb,Q5LUA7
3ghe,
3iue,P9WIL5
2vr3,Q2G015
2w47,A3DK57
3hrf,O15530
3ime,P9WIL5
3ekw,P03369
2wzf,Q5ZVS2
3ijh,
3k8d,P04951
3hv8,Q9HUK6
2k0g,Q98GN8
3ivx,P9WIL5
2kbs,Q9Y6N9
2kfx,P63316
3gkz,
3hx3,P12271
3imc,P9WIL5
3dow,O95166
2weo,P00918
3jvk,Q9ESU6
3cfn,P02766
3g5d,P00523
2vxn,P48499
3fgc,P07740
3juq,Q396C9
3evd,P03314
2weh,P00918
3evc,P03314
3gk4,P02638
3cx9,P02768
3h9f,P33981
2wos,P31151
2wor,P31151
3ehn,Q8A8X4
3hv7,Q16539
3gvu,P42684
3a1t,Q9WXQ8
3iw8,Q16539
3gxz,P81180
3a1s,Q9WXQ8
3hwx,P17109
2w4x,Q89ZI2
3k41,P11456
3fbr,P23874
3f70,Q969R5
2zwz,Q9WYE2
3f39,P02791
3gcu,Q16539
3iiy,O75530
2w10,O89100
3bpc,P01837
3ekq,P03369
3h52,P04150
3dsz,P80188
3gcp,Q16539
3el5,P03369
3ern,P62617
2v59,P24182
3dgo,
3dnt,P23874
3h91,Q14781
3f3u,P00523
3gm0,
3fj7,Q0PBL7
3hg1,Q8WLS4
3elc,P62617
3d45,Q8VDG3
3dkj,P43490
3d4f,P0AD64
2wf5,P71447
3a1e,O29777
3fjg,Q0PBL7
3g2w,Q9UJY5
3iuc,P11021
3f38,P02791
3f37,P02791
2vxa,A1WUH0
3iw7,Q16539
3e6y,P93343
2kfh,Q9H4M9
3gxy,P81180
2w6t,P48632
3ggw,
3jup,Q396C9
2w78,P48632
3fwv,P31948
3kjd,Q9UGN5
3gl6,P29375
3gf2,Q96ZY1
3g0e,P10721
3hy5,P12271
3isj,P9WIL5
3ioc,P9WIL5
3k5i,A1CII2
3e3c,Q7DB61
3g19,Q9A5I0
3ij1,O75530
2w87,Q51815
3h1z,P62944
3k5k,Q96KQ7
3d78,Q9U9J6
3iqg,P45040
2zq1,P00760
3ifp,
2rol,Q8TE68
3iqh,P45040
3g0f,P10721
2kbr,Q9Y6N9
3iux,Q00987
2wp1,Q91Y44
2kff,Q9H4M9
3dgl,
2khh,Q99257
3eyu,A2NHM3
2zq2,P00760
3gfw,P33981
2uzj,P0C0J0
2w92,Q93HW0
3f3t,P00523
2zfs,P00760
2zhd,P00760
3gk2,P02638
3fhb,Q9Y6F1
2wn9,Q8WSF8
3ga5,P23905
3iw6,Q16539
3ivv,O43791
3eqs,Q00987
3gqo,P36328
3fdt,P45973
2wl5,P07097
2zft,P00760
2wa8,P0A8Q6
3da9,P00734
2weg,P00918
3eu5,Q04631
3gx0,P77526
2wnj,Q8WSF8
3iub,P9WIL5
3el0,P03369
2w2u,Q877H3
2vx9,B0R5M0
3gcq,Q16539
3fea,O15151
3k27,O75530
3gp0,Q15759
3dri,A2RJ53
3hec,Q16539
3iqi,P45040
2we3,P03195
2wig,P06276
3hqr,Q9GZT9
3el9,P03369
3jzo,O15151
3eys,A2NHM3
3iob,P9WIL5
3g8e,Q80Z29
3e85,Q9LLQ2
2w08,P02743
2w9r,P0A8Q6
3efs,O66837
3ftq,P42208
3dpc,P00634
3jzg,O75530
3fn0,
3gjd,O67854
3jzh,O75530
2rok,Q8VDG3
2w9h,P0A017
3dxk,P61157
2wnc,Q8WSF8
3dpo,P0A6Y8
2wkt,P07097
2wuf,P9WNH5
2vzr,Q56F26
2wc4,Q08638
3a6t,P08337
3kv2,P05089
3jrs,Q8VZS8
3ifo,
3ivg,P9WIL5
3h78,P20582
3ioe,P9WIL5
3gpo,Q8JUX6
3g2u,Q9UJY5
3g08,P11609
3cyz,Q9U9J6
3dgn,
3hqh,O43791
3dzt,P18153
3gcs,Q16539
3cz1,Q9U9J6
2ke1,O43918
3cft,P02766
3h85,P84092
2wl4,P07097
2wij,P06276
2w8w,Q93UV0
3fql,Q9WMX2
3fqk,P26663
3fe7,O15151
2wik,P06276
3f3v,P00523
3a1d,O29777
3gcv,Q16539
3el4,P03369
3ivc,P9WIL5
3hww,P17109
2wfj,Q13427
3ivq,O43791
3ifl,
2knh,Q06455
2vwf,P62993
3eqy,O15151
2v57,Q58L87
3f78,P20701
3iod,P9WIL5
3efr,O66837
2kmx,Q04656
3juo,Q396C9
2zsc,B9A0T7
2wej,P00918
2wji,Q57986
2w85,O75381
2wer,P02829
3kr8,Q9H2K2
2w0z,P62993
3gk1,P02638
2wgi,P14489
3ggv,P03366
3fzn,P20906
3gus,P09211
3k84,P97612
3io7,O60674
3g35,Q9L5C8
3f5k,Q75I93
3h89,P07711
3fkv,P00811
3kcf,P36897
2zjw,P68400
3k83,P97612
3h8c,P07711
3k7f,P97612
3f5j,Q75I93
3h5b,P03367
2zy1,A9JQL9
2wgj,P08581
3ikd,Q13526
3ikg,Q13526
3fx6,P00730
3jya,P11309
3iok,O60674
3dk1,P03367
3f5l,Q75I93
3elm,P45452
3blt,P15273
2wap,P97612
2zo3,P00734
2zz6,O26232
3g32,Q9L5C8
3gsm,Q9KU37
3eyd,P26664
3fv3,P32951
3gs6,Q9KU37
3g90,P53779
2wcg,P04062
3ctt,O43451
2wk6,P19971
3g0w,P15207
3g5k,Q9HBH1
2zga,P03367
3jq9,Q581W1
2w8f,Q8WSF8
3ckt,P03367
3dxh,P61823
3h8b,P07711
2znt,P39086
3e9i,Q9RHV9
2wb5,Q0TR53
3g9l,P53779
3ibu,P00918
2k1q,P90191
2wc3,Q08638
3hk1,P04117
2w8y,P06401
3gba,P22756
2zu3,P03313
3jqb,Q581W1
3iss,P0A749
3hb4,P14061
3g3m,P11172
2kfg,Q9H4M9
3dcc,P00918
2woq,Q59643
3egt,Q86C09
3jq7,Q581W1
3ebp,P00489
3g34,Q9L5C8
2zxg,P04825
3fcq,P00800
2wkz,P12499
3ehy,P39900
3e4a,P14735
3kck,O60674
3cso,O92972
3g9n,P53779
3gjs,P42574
3ffg,P00742
2wj1,P97612
3g31,Q9L5C8
2wd7,O76290
2kaw,P51141
3jvr,O14757
3g2y,Q9L5C8
3djq,P00669
3gbe,D0VX20
3dux,P00734
2vwn,P00742
3fur,P37231
3hs4,P00918
3ibc,P55210
2w67,Q89ZI2
3iww,Q04609
3gbb,P22756
3daz,P00918
3eft,P00918
3eax,P18031
3hfv,O95363
2wks,Q48255
3khv,P00749
3hig,P19801
3hfz,Q5SGX2
2jjb,P13482
2ww2,Q8A5N9
3ibl,P00918
3dx2,Q24451
3dcs,P00918
2wzs,Q8A0N1
3djx,P00669
2wl0,P12499
2zgm,Q6WY08
3eb1,P18031
3dnd,P00517
3hav,Q9EVD7
3evf,P03314
3gep,P00492
3d6p,P61823
3gjt,P42574
3jqg,Q581W1
3f6g,Q8F3Q1
3ebo,P00489
3fnm,O25743
3f6h,Q8F3Q1
3g3d,P11172
3d6q,P61823
3grj,P00811
2w8g,Q8WSF8
3jxw,P11309
3gxt,P06280
3dd0,P00918
3d9z,P00918
3dcw,P00918
2wca,Q89ZI2
3fa3,Q2L887
3jy9,O60674
3gvb,P00811
2wky,P22756
3ggj,P00492
3kgp,P00749
3ibi,P00918
3ejq,Q24451
3ewc,A5KE01
3ejr,Q24451
3eig,P00374
3dkf,P08581
3ejp,Q24451
3ex6,P11172
3d7b,P61823
3fk1,P0A6D3
3iph,Q16539
3g0i,Q9UR30
3hl7,Q16539
3fee,Q9Y3Q0
3dx1,Q24451
3ehx,P39900
3ibn,P00918
3gc4,P28720
3ff3,Q9Y3Q0
3bm6,P00811
3e9h,Q9RHV9
3djv,P00669
3jwq,O76074
3gsg,P00811
2w5i,P61823
2zns,P39086
3hii,P19801
3h30,P68400
3fdm,Q07817
2zz2,O26232
2zz1,O26232
3ge7,P28720
3g30,Q9L5C8
